Study_ID,Type,Group1,Group2,LOD,Variant,Num_ppl,Day_measure,NAb_mean,NAb_SD,NAb_l95,NAb_u95,NAb_med,NAb_q1,NAb_q3,NAb_min,NAb_max,LOD_50,DOI
PZ670,Obs,PZ_PZ21,,1,Lambda,28,180,0.875061263,0.405858399,,,,,,,,N,10.3390/vaccines10050714
PZ670,Obs,PZ_PZ21,,1,Delta,28,180,0.905039928,0.61898892,,,,,,,,N,10.3390/vaccines10050715
PZ670,Obs,PZ_PZ21,,1,Omicron,28,180,0.698970004,0,,,,,,,,Y,10.3390/vaccines10050716
PZ670,Obs,PZ_PZ21,,1,WT,22,30,2.718999638,2.197556213,,,,,,,,N,10.3390/vaccines10050703 
PZ670,Obs,PZ_PZ21,,1,WT,22,30,2.682866796,2.312388949,,,,,,,,N,10.3390/vaccines10050704
PZ670,Obs,PZ_PZ21,,1,Alpha,22,30,2.697403723,2.302114377,,,,,,,,N,10.3390/vaccines10050705
PZ670,Obs,PZ_PZ21,,1,Gamma,22,30,2.391640703,2.363047595,,,,,,,,N,10.3390/vaccines10050706
PZ670,Obs,PZ_PZ21,,1,Beta,22,30,2.317018101,2.343408594,,,,,,,,N,10.3390/vaccines10050707
PZ670,Obs,PZ_PZ21,,1,B.1.258.17,22,30,2.510008513,2.333648757,,,,,,,,N,10.3390/vaccines10050708
PZ670,Obs,PZ_PZ21,,1,C.36.3 (1),22,30,2.59206567,2.354684554,,,,,,,,N,10.3390/vaccines10050709
PZ670,Obs,PZ_PZ21,,1,Eta,22,30,2.200303183,2.214843848,,,,,,,,N,10.3390/vaccines10050710
PZ670,Obs,PZ_PZ21,,1,Delta,22,30,2.599118565,2.34752516,,,,,,,,N,10.3390/vaccines10050711
PZ670,Obs,PZ_PZ21,,1,Mu,22,30,2.21031852,2.305136319,,,,,,,,N,10.3390/vaccines10050712
PZ670,Obs,PZ_PZ21,,1,C.36.3 (2),22,30,2.502700175,2.352953912,,,,,,,,N,10.3390/vaccines10050713
