Study_ID,Type,Group1,Group2,LOD,Variant,Num_ppl,Day_measure,NAb_mean,NAb_SD,NAb_l95,NAb_u95,NAb_med,NAb_q1,NAb_q3,NAb_min,NAb_max,LOD_50,DOI
Pf4,Obs,Conv_Pf_Pf21,HCW,1.301029996,WT,13,25,3.315340477,0.418616235,,,,,,,,N,
Pf4,Obs,Conv_Pf_Pf21,HCW,1.301029996,Alpha,13,25,3.66238002,0.344242262,,,,,,,,N,
Pf4,Obs,Conv_Pf_Pf21,HCW,1.301029996,Beta,13,25,2.790285164,0.448614308,,,,,,,,N,
Pf4,Obs,ConvNR,HCW,1.301029996,WT,13,,2.045322979,0.339978379,,,,,,,,N,
Pf4,Obs,ConvNR,HCW,1.301029996,Alpha,13,,2.5132176,0.550370359,,,,,,,,N,
Pf4,Obs,ConvNR,HCW,1.301029996,Beta,13,,1.568201724,0.533569065,,,,,,,,N,
Pf5,Obs,Conv_SP,Paediatric,0.698970004,WT,17,23,,,,,1.826074803,1.531478917,2.075546961,,,N,
Pf5,Obs,Conv_SP,Paediatric,0.698970004,Delta,17,23,,,,,2.056904851,1.51851394,2.389166084,,,N,
Pf5,Obs,Conv_SP,Paediatric,0.698970004,Omicron,17,23,,,,,1.544068044,1,1.799340549,,,N,
Pf5,Obs,Conv_SP_SP,Paediatric,0.698970004,WT,19,45,,,,,2.11058971,1.716003344,2.562292864,,,N,
Pf5,Obs,Conv_SP_SP,Paediatric,0.698970004,Delta,19,45,,,,,2.195899652,1.785329835,2.7084209,,,N,
Pf5,Obs,Conv_SP_SP,Paediatric,0.698970004,Omicron,19,45,,,,,1.653212514,1.146128036,1.897627091,,,N,
Pf5,Obs,ConvNR,Paediatric,0.698970004,WT,115,,,,,,1.716003344,1.380211242,1.973127854,,,N,
Pf5,Obs,ConvNR,Paediatric,0.698970004,Delta,115,,,,,,1.740362689,1.278753601,2.086359831,,,N,
Pf5,Obs,ConvNR,Paediatric,0.698970004,Omicron,115,,,,,,1.146128036,0,1.505149978,,,N,
Pf5,Obs,ConvNR,,0.698970004,WT,62,,,,,,1.079181246,0,1.491361694,,,N,
Pf5,Obs,ConvNR,,0.698970004,Delta,62,,,,,,1.079181246,0,1.462397998,,,N,
Pf5,Obs,ConvNR,,0.698970004,Omicron,62,,,,,,0,0,1.113943352,,,Y,
Pf6,Obs,SV_SV,7+,,WT,20,,,,,,1,1,2.121231455,,,N,
Pf6,Obs,Pf_Pf,7+,,WT,20,,,,,,2.466719372,1.837588438,3.20790353,,,N,
Pf6,Obs,SV_SV_AZ,7+,,WT,20,,,,,,3.519184604,3.073535065,3.882894356,,,N,
Pf6,Obs,SV_SV_Pf,7+,,WT,20,,,,,,3.851594644,3.649003656,4.380860388,,,N,
Pf6,Obs,Pf_Pf_Pf,7+,,WT,20,,,,,,3.982135495,3.688829005,4.27502096,,,N,
Pf6,Obs,ConvNR,7+,,WT,20,,,,,,1.877371346,1.255272505,1.562292864,,,N,
Pf7,Obs,Conv_Pf_Pf21,HCW,1,WT,23,20,,,,,3.264250982,3.161128325,3.38501609,,,N,
Pf7,Obs,Conv_Pf_Pf21,HCW,1,WT,23,200,,,,,2.645422269,2.489536629,2.932220014,,,N,
Pf7,Obs,Conv_Pf_Pf21,HCW,1,Delta,23,20,,,,,3.155943018,3.075145327,3.357477454,,,N,
Pf7,Obs,Conv_Pf_Pf21,HCW,1,Delta,23,200,,,,,2.640382045,2.394101302,2.828015064,,,N,
Pf7,Obs,ConvWT,HCW,1,WT,4,,,,,,1.484299839,1.267171728,1.667452953,,,N,
Pf7,Obs,ConvWT,HCW,1,Delta,4,,,,,,1.451786436,1.344392274,1.57634135,,,N,
Pf8,Obs,Pf,HCW,1.602059991,WT,101,16,2.193124598,,2.089905111,2.294466226,,,,,,N,
Pf8,Obs,Pf_Pf21,HCW,1.602059991,WT,101,18,3.363423933,,3.261262869,3.465234095,,,,,,N,
Pf8,Obs,Conv_Pf,HCW,1.602059991,WT,39,15,4.261096258,,4.140759371,4.381440003,,,,,,N,
Pf8,Obs,Conv_Pf_Pf21,HCW,1.602059991,WT,39,16,4.165392727,,4.043283666,4.287488208,,,,,,N,
